Hu_0,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,label
0.1561168694842566,-0.5462315081509638,-0.5405884647814397,-0.5976912680105995,-0.11099694233251285,0.45662719583343775,0.01850801134334268,0
0.15972822428996847,-0.5440103552660805,-0.5404889400610374,-0.5971297685858201,-0.11099713138095751,0.4565492177216875,0.018508158549638942,0
0.17376425300744397,-0.5422881100984602,-0.5400833419072156,-0.5956179055604067,-0.11099653106262337,0.4567776690175934,0.018509805667070566,0
0.14952869597663515,-0.5553277855437831,-0.5385886779219855,-0.579222303598407,-0.11097715093315913,0.45600027310252583,0.018569823902047384,0
1.3915261737037505,0.2496341574667862,-0.5346233822786151,-0.5797607273794331,-0.11090007414306037,0.46987974679695566,0.01855314875165633,0
1.4260243179267569,0.04785255580211119,-0.5246619929454907,-0.5766867017822471,-0.11120071123818442,0.449439985431448,0.018428635888959446,0
1.4015846013964304,0.13237040810324133,-0.5331675057234299,-0.5882710273059191,-0.11100633778602356,0.4614788424529847,0.018461570752216577,0
1.4508665578939917,-0.08705732993134134,-0.5340469675303767,-0.5976674988260475,-0.11099776343464272,0.456613770371689,0.018507931957382547,0
1.452123449525811,0.0009595026420016027,-0.5249955389917761,-0.595051747640337,-0.11099066985523658,0.4583687273742152,0.018496495934754456,0
1.5077563196580954,-0.03836010769495323,-0.5395844881865971,-0.5718982456960937,-0.11094677991895836,0.4715579073371401,0.018450189608991203,0
1.4438597303572034,-0.11464402744998857,-0.5403961388792271,-0.5771113276062897,-0.1110244004997232,0.4531294630106919,0.018511880915125633,0
1.4882873085167418,-0.2789166533948696,-0.5383488777283777,-0.5627017153370312,-0.11115644757499402,0.4655515822483181,0.018580973552373606,0
1.5540249241167199,0.03052788195052263,-0.5363301775961291,-0.5485827907406556,-0.11060116266978827,0.4868529210680239,0.018527932304836174,0
1.501818228097837,-0.4188660481117872,-0.5320080660171762,-0.5668389651803186,-0.11123074598957505,0.4475235073712281,0.01866450766433516,0
